"iteration","method","agents","neighbour","tax_rate","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0,0.35,14,13,18,3,3
5,"null",10,10,0,0.44,12,17,13,16,8
10,"null",10,10,0,0.58,8,9,17,7,4
20,"null",10,10,0,0.42,11,17,18,16,9
1,"null",20,20,0,0.35,87,91,154,79,32
5,"null",20,20,0,0.49,72,106,107,62,45
10,"null",20,20,0,0.55,55,62,115,24,14
20,"null",20,20,0,0.67,60,55,84,46,14
1,"null",50,20,0,0.36,224,246,412,34,9
5,"null",50,20,0,0.61,268,308,536,41,12
10,"null",50,20,0,0.64,312,279,619,57,23
20,"null",50,20,0,0.62,225,247,447,33,14
1,"null",100,20,0,0.37,547,578,1138,98,20
5,"null",100,20,0,0.56,512,523,1016,74,23
10,"null",100,20,0,0.58,520,481,1075,65,24
20,"null",100,20,0,0.66,611,595,1126,94,39
1,"null",200,20,0,0.38,1166,1128,2221,163,51
5,"null",200,20,0,0.57,915,932,1846,124,38
10,"null",200,20,0,0.6,993,998,2035,152,52
20,"null",200,20,0,0.63,1117,1052,2142,174,50
1,"winlo",10,10,0,0.58,17,31,8,15,0
5,"winlo",10,10,0,0.89,36,0,0,3,11
10,"winlo",10,10,0,0.9,15,0,0,0,0
20,"winlo",10,10,0,0.9,0,0,0,0,36
1,"winlo",20,20,0,0.64,140,162,134,111,9
5,"winlo",20,20,0,0.88,228,30,8,16,0
10,"winlo",20,20,0,0.93,96,0,6,4,0
20,"winlo",20,20,0,0.94,111,6,0,0,0
1,"winlo",50,20,0,0.62,714,898,412,167,0
5,"winlo",50,20,0,0.87,1136,255,53,35,0
10,"winlo",50,20,0,0.9,481,48,15,4,0
20,"winlo",50,20,0,0.91,768,60,12,7,0
1,"winlo",100,20,0,0.62,1371,1371,951,219,6
5,"winlo",100,20,0,0.85,1979,487,183,58,0
10,"winlo",100,20,0,0.91,1635,251,120,35,0
20,"winlo",100,20,0,0.94,1078,68,54,13,0
1,"winlo",200,20,0,0.6,2543,2923,1629,408,8
5,"winlo",200,20,0,0.87,3639,688,341,128,1
10,"winlo",200,20,0,0.91,2831,338,131,45,0
20,"winlo",200,20,0,0.94,2087,163,46,26,0
