"iteration","method","agents","neighbour","tax_rate","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0.3,0.24,17,7,18,12,1
5,"null",10,10,0.3,0.27,9,6,18,3,2
10,"null",10,10,0.3,0.36,4,20,14,13,2
20,"null",10,10,0.3,0.35,6,7,13,12,2
1,"null",20,20,0.3,0.21,101,67,108,53,31
5,"null",20,20,0.3,0.27,118,87,178,126,61
10,"null",20,20,0.3,0.23,68,56,133,40,10
20,"null",20,20,0.3,0.31,59,63,141,25,7
1,"null",50,20,0.3,0.33,271,274,521,46,16
5,"null",50,20,0.3,0.34,254,269,523,43,14
10,"null",50,20,0.3,0.21,296,267,606,67,15
20,"null",50,20,0.3,0.31,252,230,456,36,12
1,"null",100,20,0.3,0.18,500,493,943,78,17
5,"null",100,20,0.3,0.27,589,571,1118,88,35
10,"null",100,20,0.3,0.18,564,608,1256,106,39
20,"null",100,20,0.3,0.23,520,504,1006,71,22
1,"null",200,20,0.3,0.18,1040,1081,2026,151,49
5,"null",200,20,0.3,0.24,980,967,2062,134,46
10,"null",200,20,0.3,0.23,1017,1021,1970,124,43
20,"null",200,20,0.3,0.24,1052,1078,2135,172,46
1,"winlo",10,10,0.3,0.62,8,13,18,11,0
5,"winlo",10,10,0.3,0.37,16,8,12,16,3
10,"winlo",10,10,0.3,0.26,10,25,21,13,5
20,"winlo",10,10,0.3,0.37,12,20,26,13,0
1,"winlo",20,20,0.3,0.31,84,70,100,33,11
5,"winlo",20,20,0.3,0.28,54,111,87,42,8
10,"winlo",20,20,0.3,0.37,137,65,144,92,18
20,"winlo",20,20,0.3,0.3,64,91,93,56,37
1,"winlo",50,20,0.3,0.3,365,327,391,57,4
5,"winlo",50,20,0.3,0.39,459,471,511,81,14
10,"winlo",50,20,0.3,0.26,339,469,453,81,8
20,"winlo",50,20,0.3,0.29,388,396,428,63,8
1,"winlo",100,20,0.3,0.31,861,871,951,151,8
5,"winlo",100,20,0.3,0.25,823,899,1092,139,15
10,"winlo",100,20,0.3,0.26,808,879,946,134,12
20,"winlo",100,20,0.3,0.34,813,782,1046,119,16
1,"winlo",200,20,0.3,0.27,1599,1608,2118,214,19
5,"winlo",200,20,0.3,0.29,1787,1888,1971,289,25
10,"winlo",200,20,0.3,0.28,1670,1761,1993,253,25
20,"winlo",200,20,0.3,0.28,1551,1557,1883,268,22
