"iteration","method","agents","neighbour","tax_rate","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0.05,0.35,5,17,14,8,5
5,"null",10,10,0.05,0.37,10,23,16,7,10
10,"null",10,10,0.05,0.33,7,16,11,13,5
20,"null",10,10,0.05,0.33,7,8,21,7,2
1,"null",20,20,0.05,0.3,52,70,117,32,10
5,"null",20,20,0.05,0.39,50,61,90,16,5
10,"null",20,20,0.05,0.38,82,81,116,62,25
20,"null",20,20,0.05,0.39,109,83,139,65,39
1,"null",50,20,0.05,0.3,236,221,457,38,14
5,"null",50,20,0.05,0.44,260,267,472,38,7
10,"null",50,20,0.05,0.38,281,270,567,49,13
20,"null",50,20,0.05,0.4,192,195,365,31,11
1,"null",100,20,0.05,0.35,534,497,1031,84,24
5,"null",100,20,0.05,0.39,556,516,1077,80,27
10,"null",100,20,0.05,0.38,536,535,1013,59,21
20,"null",100,20,0.05,0.39,473,442,965,68,17
1,"null",200,20,0.05,0.33,990,1057,1999,127,49
5,"null",200,20,0.05,0.38,1074,1094,2230,165,60
10,"null",200,20,0.05,0.38,1167,1213,2379,183,53
20,"null",200,20,0.05,0.4,1050,1043,2100,129,47
1,"winlo",10,10,0.05,0.42,11,17,12,30,2
5,"winlo",10,10,0.05,0.54,24,22,4,45,5
10,"winlo",10,10,0.05,0.68,28,3,8,33,9
20,"winlo",10,10,0.05,0.68,48,13,1,15,0
1,"winlo",20,20,0.05,0.5,112,142,89,96,1
5,"winlo",20,20,0.05,0.69,272,81,80,130,45
10,"winlo",20,20,0.05,0.65,186,104,76,79,0
20,"winlo",20,20,0.05,0.65,218,113,70,122,30
1,"winlo",50,20,0.05,0.54,605,671,451,141,4
5,"winlo",50,20,0.05,0.65,999,840,279,147,0
10,"winlo",50,20,0.05,0.67,1244,775,323,159,0
20,"winlo",50,20,0.05,0.7,1176,749,358,146,0
1,"winlo",100,20,0.05,0.51,1338,1508,818,246,3
5,"winlo",100,20,0.05,0.64,2016,1588,935,324,2
10,"winlo",100,20,0.05,0.68,2105,1547,909,360,0
20,"winlo",100,20,0.05,0.72,2181,1215,689,234,0
1,"winlo",200,20,0.05,0.52,2452,2824,1757,415,10
5,"winlo",200,20,0.05,0.69,4043,2724,1577,523,2
10,"winlo",200,20,0.05,0.7,4431,3023,1757,585,5
20,"winlo",200,20,0.05,0.68,4405,2754,1631,604,4
