"iteration","method","agents","neighbour","tax_rate","lambda","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0,28,0.35,7,6,13,2,3
10,"null",10,10,0,22.02,0.35,12,9,22,10,2
20,"null",10,10,0,20.99,0.56,9,11,15,1,0
30,"null",10,10,0,19.45,0.6,6,5,22,6,1
1,"null",20,20,0,29,0.41,64,81,118,32,2
10,"null",20,20,0,22.6,0.43,77,68,133,46,7
20,"null",20,20,0,20.55,0.5,48,45,96,12,8
30,"null",20,20,0,20.1,0.51,51,51,107,22,9
1,"null",50,20,0,21.6,0.3,301,324,603,36,21
10,"null",50,20,0,20.12,0.56,274,321,584,41,10
20,"null",50,20,0,19.38,0.54,271,255,453,37,22
30,"null",50,20,0,19.12,0.46,250,236,509,34,13
1,"null",100,20,0,18.6,0.27,532,509,1056,65,34
10,"null",100,20,0,19.54,0.54,591,597,1033,81,25
20,"null",100,20,0,19.57,0.57,514,483,1016,71,18
30,"null",100,20,0,19.08,0.5,512,461,962,68,24
1,"null",200,20,0,22.3,0.32,1201,1127,2384,166,70
10,"null",200,20,0,20.03,0.52,971,1013,1968,152,34
20,"null",200,20,0,19.59,0.52,940,995,1886,136,53
30,"null",200,20,0,19.51,0.52,1049,964,2135,155,31
1,"winlo",10,10,0,50,0.61,26,20,11,29,0
10,"winlo",10,10,0,11.2,0.86,50,0,0,7,0
20,"winlo",10,10,0,6.7,0.9,28,0,0,0,0
30,"winlo",10,10,0,4.47,0.9,28,0,0,0,0
1,"winlo",20,20,0,50,0.59,173,173,76,88,1
10,"winlo",20,20,0,11.9,0.87,247,30,12,21,0
20,"winlo",20,20,0,6.55,0.88,180,13,3,8,0
30,"winlo",20,20,0,4.97,0.91,182,15,5,6,0
1,"winlo",50,20,0,42.4,0.56,654,777,605,151,12
10,"winlo",50,20,0,11.68,0.88,854,134,81,30,0
20,"winlo",50,20,0,7,0.92,656,72,19,8,0
30,"winlo",50,20,0,5.01,0.93,444,32,12,2,0
1,"winlo",100,20,0,43.2,0.56,1539,1757,1170,321,6
10,"winlo",100,20,0,11.26,0.85,1964,361,152,77,0
20,"winlo",100,20,0,6.75,0.89,1495,216,81,32,0
30,"winlo",100,20,0,4.98,0.91,1067,101,59,19,0
1,"winlo",200,20,0,41.1,0.54,2915,3349,2378,590,18
10,"winlo",200,20,0,10.84,0.84,4117,914,372,151,0
20,"winlo",200,20,0,6.79,0.89,3173,436,241,93,0
30,"winlo",200,20,0,5.05,0.91,2841,295,128,58,0
