"iteration","method","agents","neighbour","tax_rate","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0.1,0.26,9,7,14,2,1
5,"null",10,10,0.1,0.37,8,20,15,10,9
10,"null",10,10,0.1,0.45,5,8,14,4,1
20,"null",10,10,0.1,0.44,7,16,15,15,22
1,"null",20,20,0.1,0.3,56,71,73,35,33
5,"null",20,20,0.1,0.15,43,45,96,29,3
10,"null",20,20,0.1,0.2,56,99,135,67,29
20,"null",20,20,0.1,0.29,60,79,88,36,18
1,"null",50,20,0.1,0.19,273,258,508,44,11
5,"null",50,20,0.1,0.24,300,314,560,39,30
10,"null",50,20,0.1,0.2,288,285,579,51,16
20,"null",50,20,0.1,0.23,296,250,497,43,17
1,"null",100,20,0.1,0.13,460,443,1003,60,21
5,"null",100,20,0.1,0.25,545,492,1057,90,29
10,"null",100,20,0.1,0.25,559,536,1088,81,31
20,"null",100,20,0.1,0.22,529,553,1038,77,25
1,"null",200,20,0.1,0.3,1082,1116,2212,131,59
5,"null",200,20,0.1,0.2,990,1015,2043,138,41
10,"null",200,20,0.1,0.27,1155,1092,2189,181,56
20,"null",200,20,0.1,0.19,992,1031,2060,137,56
1,"winlo",10,10,0.1,0.37,18,21,14,14,1
5,"winlo",10,10,0.1,0.45,10,26,8,48,2
10,"winlo",10,10,0.1,0.45,16,11,13,11,1
20,"winlo",10,10,0.1,0.49,22,10,11,29,5
1,"winlo",20,20,0.1,0.34,127,78,119,109,14
5,"winlo",20,20,0.1,0.47,191,130,92,161,36
10,"winlo",20,20,0.1,0.5,173,135,62,83,24
20,"winlo",20,20,0.1,0.52,176,102,93,121,21
1,"winlo",50,20,0.1,0.35,416,567,461,109,5
5,"winlo",50,20,0.1,0.51,873,857,594,170,4
10,"winlo",50,20,0.1,0.51,835,785,505,197,1
20,"winlo",50,20,0.1,0.48,669,793,492,166,2
1,"winlo",100,20,0.1,0.38,916,1111,1004,179,15
5,"winlo",100,20,0.1,0.5,1338,1573,1054,308,4
10,"winlo",100,20,0.1,0.51,1792,1953,1105,345,3
20,"winlo",100,20,0.1,0.52,1732,1546,1024,309,1
1,"winlo",200,20,0.1,0.35,1851,2786,1921,435,18
5,"winlo",200,20,0.1,0.49,3127,3512,2184,625,9
10,"winlo",200,20,0.1,0.51,3369,3587,2140,703,6
20,"winlo",200,20,0.1,0.5,3084,3513,2203,652,9
