"iteration","method","agents","neighbour","tax_rate","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0,0.35,4,19,20,10,13
5,"null",10,10,0,0.54,14,14,21,17,6
10,"null",10,10,0,0.43,12,17,9,24,7
20,"null",10,10,0,0.49,12,18,14,21,6
1,"null",20,20,0,0.38,78,100,131,74,37
5,"null",20,20,0,0.43,75,107,157,89,43
10,"null",20,20,0,0.49,91,84,128,59,28
20,"null",20,20,0,0.59,45,72,126,32,5
1,"null",50,20,0,0.32,200,204,470,35,14
5,"null",50,20,0,0.55,244,253,486,36,6
10,"null",50,20,0,0.59,322,310,620,37,21
20,"null",50,20,0,0.67,272,274,530,43,15
1,"null",100,20,0,0.38,586,543,1095,78,25
5,"null",100,20,0,0.49,550,555,1201,87,37
10,"null",100,20,0,0.61,554,571,1083,94,35
20,"null",100,20,0,0.64,588,537,1161,106,28
1,"null",200,20,0,0.37,1058,1070,2107,144,47
5,"null",200,20,0,0.57,1097,1164,2329,172,64
10,"null",200,20,0,0.6,1014,998,2104,121,44
20,"null",200,20,0,0.63,1036,1062,2081,144,70
1,"winlo",10,10,0,0.58,25,23,3,16,0
5,"winlo",10,10,0,0.85,34,6,0,2,0
10,"winlo",10,10,0,0.88,43,6,0,0,0
20,"winlo",10,10,0,0.9,15,0,0,0,0
1,"winlo",20,20,0,0.6,129,135,85,70,1
5,"winlo",20,20,0,0.84,219,22,15,16,36
10,"winlo",20,20,0,0.87,174,7,10,13,0
20,"winlo",20,20,0,0.94,130,0,5,5,36
1,"winlo",50,20,0,0.62,672,891,423,136,3
5,"winlo",50,20,0,0.9,874,157,81,33,0
10,"winlo",50,20,0,0.92,678,64,22,9,0
20,"winlo",50,20,0,0.95,270,14,0,0,0
1,"winlo",100,20,0,0.59,1295,1502,881,213,6
5,"winlo",100,20,0,0.87,1848,364,281,83,0
10,"winlo",100,20,0,0.93,1538,151,111,47,0
20,"winlo",100,20,0,0.95,1113,72,60,32,0
1,"winlo",200,20,0,0.6,2661,2839,1812,462,10
5,"winlo",200,20,0,0.89,3984,725,429,166,1
10,"winlo",200,20,0,0.92,2429,257,68,31,0
20,"winlo",200,20,0,0.94,2149,116,106,43,0
