"iteration","method","agents","neighbour","tax_rate","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0.05,0.36,7,5,16,3,1
5,"null",10,10,0.05,0.5,10,7,24,16,8
10,"null",10,10,0.05,0.45,15,12,11,9,9
20,"null",10,10,0.05,0.38,14,5,35,17,5
1,"null",20,20,0.05,0.47,39,42,76,15,5
5,"null",20,20,0.05,0.36,92,66,169,85,22
10,"null",20,20,0.05,0.38,78,84,137,59,28
20,"null",20,20,0.05,0.39,56,64,113,27,12
1,"null",50,20,0.05,0.32,273,306,581,54,16
5,"null",50,20,0.05,0.38,271,268,568,46,14
10,"null",50,20,0.05,0.39,248,197,434,49,10
20,"null",50,20,0.05,0.39,265,306,511,41,19
1,"null",100,20,0.05,0.33,493,450,950,78,26
5,"null",100,20,0.05,0.4,509,507,987,71,21
10,"null",100,20,0.05,0.4,554,549,1031,94,22
20,"null",100,20,0.05,0.36,475,497,975,55,26
1,"null",200,20,0.05,0.33,1024,1038,1985,151,40
5,"null",200,20,0.05,0.38,1105,1113,2131,155,49
10,"null",200,20,0.05,0.38,1010,999,2049,128,66
20,"null",200,20,0.05,0.4,1062,1039,2127,154,46
1,"winlo",10,10,0.05,0.58,15,20,13,43,1
5,"winlo",10,10,0.05,0.68,32,22,7,21,0
10,"winlo",10,10,0.05,0.61,34,25,0,20,7
20,"winlo",10,10,0.05,0.58,19,2,16,44,12
1,"winlo",20,20,0.05,0.5,134,163,50,53,0
5,"winlo",20,20,0.05,0.63,222,123,86,154,23
10,"winlo",20,20,0.05,0.64,251,105,46,87,26
20,"winlo",20,20,0.05,0.7,215,159,34,78,0
1,"winlo",50,20,0.05,0.52,720,845,367,135,1
5,"winlo",50,20,0.05,0.6,1021,790,357,167,0
10,"winlo",50,20,0.05,0.66,1066,712,404,175,2
20,"winlo",50,20,0.05,0.63,1084,848,459,195,0
1,"winlo",100,20,0.05,0.54,1525,1541,915,250,3
5,"winlo",100,20,0.05,0.66,2065,1485,777,263,2
10,"winlo",100,20,0.05,0.68,2081,1459,876,313,0
20,"winlo",100,20,0.05,0.7,2199,1341,840,294,2
1,"winlo",200,20,0.05,0.51,2370,2758,1727,419,14
5,"winlo",200,20,0.05,0.68,4106,2965,1612,590,1
10,"winlo",200,20,0.05,0.69,4157,2902,1575,572,1
20,"winlo",200,20,0.05,0.7,4460,2796,1639,549,2
