"iteration","method","agents","neighbour","tax_rate","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0,0.37,18,9,16,25,6
5,"null",10,10,0,0.4,7,11,26,15,7
10,"null",10,10,0,0.43,11,11,11,11,4
20,"null",10,10,0,0.4,16,3,18,14,0
1,"null",20,20,0,0.31,74,50,123,29,11
5,"null",20,20,0,0.51,83,69,151,35,13
10,"null",20,20,0,0.67,57,116,142,45,20
20,"null",20,20,0,0.52,78,99,129,59,27
1,"null",50,20,0,0.4,259,281,536,49,15
5,"null",50,20,0,0.54,282,245,484,48,9
10,"null",50,20,0,0.62,271,294,606,52,15
20,"null",50,20,0,0.64,259,279,531,30,11
